E M
-2.75 1.22474
-2.75 1.22363
-2.75 1.22252
-2.75 1.2214
-2.75 1.22029
-2.75 1.21918
-2.75 1.21806
-2.75 1.21695
-2.75 1.21584
-2.75 1.21472
-2.75 1.21361
-2.75 1.21249
-2.75001 1.21138
-2.75001 1.21027
-2.75001 1.20915
-2.75001 1.20804
-2.75001 1.20693
-2.75001 1.20581
-2.75001 1.2047
-2.75002 1.20359
-2.75002 1.20247
-2.75002 1.20136
-2.75002 1.20025
-2.75002 1.19913
-2.75003 1.19802
-2.75003 1.19691
-2.75003 1.19579
-2.75003 1.19468
-2.75004 1.19357
-2.75004 1.19245
-2.75004 1.19134
-2.75004 1.19023
-2.75005 1.18911
-2.75005 1.188
-2.75005 1.18689
-2.75006 1.18577
-2.75006 1.18466
-2.75006 1.18355
-2.75007 1.18243
-2.75007 1.18132
-2.75008 1.18021
-2.75008 1.1791
-2.75008 1.17798
-2.75009 1.17687
-2.75009 1.17576
-2.7501 1.17465
-2.7501 1.17353
-2.7501 1.17242
-2.75011 1.17131
-2.75011 1.17019
-2.75012 1.16908
-2.75012 1.16797
-2.75013 1.16686
-2.75013 1.16575
-2.75014 1.16463
-2.75014 1.16352
-2.75015 1.16241
-2.75016 1.1613
-2.75016 1.16018
-2.75017 1.15907
-2.75017 1.15796
-2.75018 1.15685
-2.75018 1.15574
-2.75019 1.15463
-2.7502 1.15351
-2.7502 1.1524
-2.75021 1.15129
-2.75022 1.15018
-2.75022 1.14907
-2.75023 1.14796
-2.75024 1.14685
-2.75024 1.14573
-2.75025 1.14462
-2.75026 1.14351
-2.75026 1.1424
-2.75027 1.14129
-2.75028 1.14018
-2.75029 1.13907
-2.75029 1.13796
-2.7503 1.13685
-2.75031 1.13574
-2.75032 1.13463
-2.75033 1.13352
-2.75033 1.13241
-2.75034 1.1313
-2.75035 1.13019
-2.75036 1.12908
-2.75037 1.12797
-2.75038 1.12686
-2.75038 1.12575
-2.75039 1.12464
-2.7504 1.12353
-2.75041 1.12242
-2.75042 1.12131
-2.75043 1.1202
-2.75044 1.11909
-2.75045 1.11798
-2.75046 1.11687
-2.75047 1.11576
-2.75048 1.11466
-2.75049 1.11355
-2.7505 1.11244
-2.75051 1.11133
-2.75052 1.11022
-2.75053 1.10911
-2.75054 1.108
-2.75055 1.1069
-2.75056 1.10579
-2.75057 1.10468
-2.75058 1.10357
-2.75059 1.10247
-2.7506 1.10136
-2.75061 1.10025
-2.75062 1.09914
-2.75063 1.09804
-2.75064 1.09693
-2.75066 1.09582
-2.75067 1.09472
-2.75068 1.09361
-2.75069 1.0925
-2.7507 1.0914
-2.75071 1.09029
-2.75073 1.08918
-2.75074 1.08808
-2.75075 1.08697
-2.75076 1.08587
-2.75077 1.08476
-2.75079 1.08365
-2.7508 1.08255
-2.75081 1.08144
-2.75082 1.08034
-2.75084 1.07923
-2.75085 1.07813
-2.75086 1.07702
-2.75088 1.07592
-2.75089 1.07481
-2.7509 1.07371
-2.75092 1.07261
-2.75093 1.0715
-2.75094 1.0704
-2.75096 1.06929
-2.75097 1.06819
-2.75098 1.06709
-2.751 1.06598
-2.75101 1.06488
-2.75103 1.06378
-2.75104 1.06267
-2.75106 1.06157
-2.75107 1.06047
-2.75108 1.05937
-2.7511 1.05826
-2.75111 1.05716
-2.75113 1.05606
